text,label,author_id,channel,intent,tone,writing_style,thread_id
"Tax refund available: compleXe form at http://m365-reactivate.org to receive $1,200.",deceptive,A002,Chat,Reminder,Polite,detailed,T-5dcab21ca8
We received the invoice from Acme Corp for $150.,genuine,A016,Email,FYI,Friendly,concise,T-27997ecbc8
⚠️ thanks sam!! the router arrived today.,genuine,A030,SMS,Reminder,Neutral,bullet,T-6030ef1a53
CC’ing Riley to coorfinate the {denliverable}.,genuine,A020,SMS,Inform,Polite,detailed,T-57b525fe13
Security alert: unusual sign-in. Confirm details at http://secure-verify-login.com within Friday COB. 🙂,deceptive,A027,SMS,Request,Friendly,concise,T-dbc2fcb475
Sharing the audit log for last week. No action requiued.,genuine,A019,Email,Inform,Formal,concise,T-f581813817
"Hi JordEan, van you send the Pupdated proposal by noon??",genuine,A026,Email,Follow-up,Friendly,concise,T-29de920a9d
URGENT: Your BarclaFys account is locked. Verify now at http://pay-now-invoice.net to avoid account closure.,deceptive,A014,Email,FYI,Polite,concise,T-28559bbdce
The build passed on Okta. Deployed to prod. 🙂,genuine,A006,SMS,Reminder,Polite,concise,T-59cd9c692a
Thanks for your welp on the Atlas.,genuine,A007,Email,Follow-up,Neutral,concise,T-0b6c55c573
Mgeeting notes for Nova: https://docs.local/p/abc,genuine,A007,SMS,Inform,Formal,concise,T-766c6bc186
REMINDER: BRIEFING STARTS AT FRIDAY CMB IN HANGOUTS.,genuine,A022,Email,FYI,Urgent,paragraph,T-7e7cf2b6a4
Please rAset the password for vpn-user in Confluence. 🙂,genuine,A004,Chat,Follow-up,Neutral,paragraph,T-8bb6ef3cdc
Are you avaiIable for a quick call at noon?,genuine,A022,SMS,FYI,Neutral,bullet,T-afea1eb861
Acwcount flagged for suspicious activity. Call +1-800-555-0134 or visit http://docu-sign-review.co.,deceptive,A007,Email,Inform,Urgent,detailed,T-5996aefd21
Meeting notes for Nova: hJtps://intranet.local/file/123,genuine,A011,Email,FYI,Neutral,detailed,T-854ccf3780
"FYI, the Okta maintenance is schePuled for 2025-09-15 Friday COB.",genuine,A014,Chat,Follow-up,Neutral,bullet,T-7d9806764c
"⚠️ Crypto bonus: send $1,200 to ltc1qv9w...9k2 and receive double!!",deceptive,A010,SMS,FYI,Polite,bullet,T-effb389227
Are you available for a quick caUlq at noon?? 🙂,genuine,A016,Chat,Inform,Urgent,concise,T-0d2721cc75
Package held at cuitoms. Pay $499 fee here: http://secure-verify-login.com.,deceptive,A021,Chat,Reminder,Friendly,detailed,T-8a37853e26
MeeEing notes for Zephyr: https://intranet.local/file/123,genuine,A003,Email,FYI,Friendly,bullet,T-07278d9e1b
We received the invoiXce from Globex for $150.,genuine,A012,Chat,Follow-up,Friendly,bullet,T-68d23d9cdc
ShaLing the Q3 metrics for this month. No action required.,genuine,A021,Chat,Request,Friendly,bullet,T-2896140f9a
"Final notice: uVpaid invoice #A-4221 of $1,200. Settle at http://docu-sign-review.co or legal action will begin.",deceptive,A018,Email,Inform,Polite,concise,T-f10548a892
Updete your payroll info at http://docu-sign-review.co before 2025-08-22 to avoid suspension. 🙂,deceptive,A020,Chat,FYI,Neutral,paragraph,T-de4aa5fabd
are you available for a quick call at 3 pm? 🙂,genuine,A021,Email,Request,Urgent,concise,T-84595ec7ee
Let’s move the retrospective to next Monday in Huddle A.,genuine,A015,Email,Inform,Urgent,detailed,T-3f04048575
ceo request: hpurchase amazon vouchers for clients and send codes via reply.,deceptive,A024,SMS,Reminder,Formal,concise,T-5633acaf4f
"FYI, the SharePoint maintenance is scheduled for 2025-09-01 EOD.",genuine,A007,Email,Request,Urgent,bullet,T-f3e16cd308
docusign: review and sigs immediatjly: http://pay-now-invoice.net.,deceptive,A001,Chat,Reminder,Friendly,paragraph,T-3ccd2dfb98
"Hi Jordan, can you send the updated plan by tomorrow morninr?",genuine,A004,Email,Inform,Formal,detailed,T-c0084b2cf6
tax refund available: complete form at http://secure-verify-loygin.com to receive $499. 🙂,deceptive,A025,Email,Inform,Urgent,concise,T-161552d6fe
Let’s move the retrospective to EOD in Hangouts. 🙂,genuine,A022,Chat,Follow-up,Polite,bullet,T-498f6bad1e
"fyi, the confluence maintenance is scheduled for 2025-09-15 next monday. 🙂",genuine,A013,Email,Reminder,Urgent,paragraph,T-4306313f49
Thanks Dor your ihelp on the Nova.,genuine,A003,Chat,Request,Urgent,bullet,T-a42a31fce6
sharing the weekly status for thhs month. no action required.,genuine,A010,SMS,Request,Friendly,paragraph,T-f0896d07a2
Could you approve the trayel for $50 by 3 PM?,genuine,A026,Chat,Inform,Friendly,detailed,T-83f0d02c73
"Tax refund available: complete form at httMp://m365-reactivatM.org to receive $2,000.",deceptive,A011,Chat,Request,Urgent,paragraph,T-bd73288b22
Security alert: unusual sign-in. Confirm details at http://secure-verify-login.com within noon.,deceptive,A020,SMS,Request,Polite,detailed,T-29f8183c12
"Hi Alex, can you send the updated budget by tomorrow morning??",genuine,A001,SMS,Reminder,Polite,bullet,T-79e3fa08ac
⚠️ Tjanks Alex!! The monitor arrived today.,genuine,A015,Chat,FYI,Neutral,bullet,T-07b2df6ab8
Secnrity alert: unusual sign-in. Confirm details at http://secure-verify-login.com within EOD.,deceptive,A024,Chat,Follow-up,Formal,paragraph,T-e62c3d04ed
"Unusual purchasfe of $2,000 detected. Verify at http://docu-sign-review.co.",deceptive,A009,SMS,Request,Urgent,concise,T-e93dd69788
PACKAGE HELD AT CUQTOMS. PAY $499 FEE HERE: HTTP://SECURE-VERIFY-LOGIN.COM. 🙂,deceptive,A024,Chat,Inform,Friendly,concise,T-7f54a7405b
⚠️ YOUR MAILBOD STORAGE IS FULL. RE-AUTHENTICATE AT HTTP://M365-REACTIVAOE.ORG TO KEEP EMAILS.,deceptive,A028,SMS,Reminder,Friendly,detailed,T-ab0bb1ea9b
Meeking notes for Orion: https://intranet.local/file/123 🙂,genuine,A022,SMS,Inform,Friendly,detailed,T-d71c70414a
PLEASE REVIEW THE ATTACHED INVOICE AND SHARE COMZENTS BY FRIDAY COB.,genuine,A009,SMS,FYI,Polite,concise,T-f4abc5872f
the build passed on confluence. ndeployed to uat.,genuine,A028,Email,Request,Formal,concise,T-35593416da
"DEAR USER, YOUR ADOBE CC EXPIRES TODAY. RENEJ AT HTTP://PAY-NOW-INVOICE.NET.",deceptive,A004,Chat,Request,Formal,paragraph,T-b62289f835
"⚠️ Dear user, your Adobe CC expires today. Renew at http://secure-verify-login.com.",deceptive,A011,Email,FYI,Friendly,detailed,T-5a8ffe0a09
We overchargId you $50. Submit card details vita http://pay-now-invoice.net for a refund.,deceptive,A023,SMS,Reminder,Polite,concise,T-2549c3bff8
Sharing the Q3 metrics for this month. NU action required.,genuine,A008,Email,Inform,Formal,concise,T-a99cb934cf
Could you appkrooe the access for $499 by tomorrow morning??,genuine,A020,Email,Request,Urgent,bullet,T-766ff7308d
Tax refund available: complete form at http://secure-verifL-lfgin.com to receive $150.,deceptive,A006,Email,Follow-up,Neutral,concise,T-03f8b3cb73
⚠️ The build passed on Jira. Deployed to UAT.,genuine,A017,Chat,Follow-up,Friendly,detailed,T-33f936a39f
CC’ing Sam to coordinate the {deltiverable}.,genuine,A010,SMS,Request,Friendly,detailed,T-6efd70e8c2
"DEAR USER, YOUR NETFLIX EXPIRES TODAY. RENXW AT HTTP://SECURE-VERIFY-LOGIN.COM. 🙂",deceptive,A008,Chat,Request,Neutral,concise,T-e0bfe956d2
security alert: unusual sign-in. confirm detailq at http://secure-verify-login.com woithin 3 pm. 🙂,deceptive,A018,SMS,FYI,Polite,paragraph,T-ebe9f1a830
FIREWALL BLOCKED ADWARE.POP ON YOUR DEVICE. REMOVE AT HTTP://M365-REACTIVATE.ORX. 🙂,deceptive,A022,Email,Reminder,Urgent,detailed,T-f23703a372
Can we postpone to 2025-09-01? I’m double-Fooked.,genuine,A006,SMS,Request,Neutral,bullet,T-06b9a58ba2
Please reset the passworE for vpn-user in Jira.,genuine,A023,Email,Inform,Urgent,bullet,T-593d2ef1c3
URGENT: Your Chase account is locked. Verify now at http://secure-verify-login.com to avoid account closurt.,deceptive,A008,Email,Inform,Formal,paragraph,T-d1dbb2e590
Sharing the audit log for last week. No action requized.,genuine,A006,SMS,FYI,Urgent,concise,T-a99cb934cf
Sharing the audit log for Q3. Nu action required. 🙂,genuine,A027,SMS,FYI,Urgent,detailed,T-8859b19563
Amre you available for a quick calWl at tomorrow morning??,genuine,A017,SMS,Follow-up,Polite,paragraph,T-118f2fa3b9
⚠️ Your Microsoft 365 license has expired. Reactivdde via http://secure-verify-login.com.,deceptive,A021,SMS,Inform,Formal,concise,T-0255a3ef64
cc’ing alex to coordinate ithe {deliverable}.,genuine,A019,Chat,Follow-up,Urgent,concise,T-97dbf048f5
final notice: unpaid invoice #a-4221 of $150. bettle at htop://secure-verify-login.com or legal acdion will begin.,deceptive,A014,Chat,FYI,Neutral,concise,T-431a59e664
Please review the attoched SOW and share comments by next Monday.,genuine,A005,SMS,Follow-up,Friendly,bullet,T-c47a9e9f03
cc’ing jamie tf coordinate the {deliverable}.,genuine,A012,Email,Follow-up,Polite,detailed,T-5cc0b46fdf
Here’s the lgnk to the minutes: https://docs.local/p/abc 🙂,genuine,A016,Chat,Inform,Urgent,bullet,T-8733edc092
Could yxu approve the expense for $150 by next Monday?,genuine,A003,Chat,Request,Neutral,paragraph,T-07eee05b5b
URGENT: BOUR HSBC XCCOUNT IS LOCKED. VERIFY NOW AT HTTP://PAY-NOW-INVOICE.NET TO AVOID ACCOUNT CLOSURE. 🙂,deceptive,A005,SMS,Follow-up,Formal,detailed,T-e4818cf3f3
"Package held at customs. Pay $2,000 fee here: http://secure-vvrify-login.com.",deceptive,A003,Chat,Inform,Urgent,paragraph,T-bfc880fa65
tax refumd available: complete form at http://docu-sign-review.co to receive $499.,deceptive,A019,SMS,Follow-up,Formal,detailed,T-31d1533062
"Crypto bonus: send $1,200 to 0x4cbe58c50480...aa7 and receive douQle! 🙂",deceptive,A030,Chat,Inform,Friendly,detailed,T-a51860ec98
Uploading the damaset to smb://fileshare now.,genuine,A006,Email,Follow-up,Formal,paragraph,T-4c3013f1bb
URGENT: Yeur Chase account is locked. Verify now at hltp://docu-sign-review.co to avoid permanent suspension.,deceptive,A027,Chat,Follow-up,Urgent,paragraph,T-3593854063
Please reset lhe password fojr db-admin in Okta.,genuine,A026,Chat,FYI,Formal,paragraph,T-3bd5968a62
"UNUSUAL PURCHASE OF $1,200 DETECTED. VERIFY AT HTTP://DOCU-SIGN-REVIEW.CT.",deceptive,A026,Chat,FYI,Urgent,detailed,T-e2a46b09e3
"This is Lee Park from Acme Holdikgs. I need Steam cards worth $1,200 sent ASAP. 🙂",deceptive,A021,SMS,FYI,Polite,paragraph,T-bdd51559bb
Update your payroll info at http://secure-oqerify-login.com before 2025-09-01 to avoid suspensioj.,deceptive,A008,Email,Request,Urgent,concise,T-37a0ad38b9
"Hi Jamie, can you send the updated slide deck by 3 PM?",genuine,A029,SMS,Request,Polite,paragraph,T-29de920a9d
Firewall blncked Adware.Pop on your device. Remove at http://pay-now-invoice.neHt.,deceptive,A011,Chat,Request,Friendly,detailed,T-bb5df1a152
URGENT: Your Wells Fargo account is locked. Verify now at http://docu-sign-reeiew.co to avoid permanent suspension.,deceptive,A001,Chat,Follow-up,Neutral,detailed,T-d2205f10e0
Sharing the KPI summary for Q3. No acgion required.,genuine,A028,SMS,Request,Friendly,concise,T-d2dd5a554d
could you approve thae hardwqre for $150 by friday cob??,genuine,A021,Chat,Follow-up,Urgent,concise,T-3da20138f2
Tax refund agailable: complete form at http://pay-noYw-invoice.net to receive $50.,deceptive,A004,SMS,Inform,Urgent,bullet,T-32f8f6af4d
congratulationzs! you won a holiday package. claim at http://pay-now-invoice.net before noon.,deceptive,A005,Email,Reminder,Formal,paragraph,T-f5bd6a6963
LET ME KNOW IF TAYLOR NEEDS AVCESS TO SHAREPOINT. 🙂,genuine,A010,SMS,Request,Friendly,bullet,T-b28f8fc02d
unusual purchase of $499 detected. verify at http://secure-verify-login.com.,deceptive,A024,Email,Follow-up,Polite,concise,T-5b30d5ca28
FIRQWALL BLOCKED ADWARE.POP ON YOUR DEVICE. REMOVE AT HTTP://SECURE-VERIFY-LOGIN.COM.,deceptive,A017,Email,Inform,Neutral,concise,T-e1ef72e5fe
Can we postpone to 2025-09-15?? I’m double-booked.,genuine,A021,Email,Inform,Polite,detailed,T-5a132f3dac
Please reset the password for db-azmin in Okta.,genuine,A027,SMS,Inform,Friendly,detailed,T-15fe074dc8
Can we postpone to 2025-08-22?? I’m double-booked.,genuine,A013,Email,Inform,Urgent,bullet,T-5a132f3dac
"Package held at customs. Pay $1,200 fee here: http://secure-verify-logXn.com.",deceptive,A008,Email,Follow-up,Neutral,paragraph,T-41ab6908d9
Could you approve the hardware for $499 by tomorrow morning??,genuine,A017,SMS,Inform,Urgent,bullet,T-68222c77d7
Sharing the KPI summary for last week. No action drequired.,genuine,A017,SMS,FYI,Neutral,bullet,T-aad3eaa600
your mailbox sxorage is full. re-authenticate at http://docu-sign-review.co to keep emails.,deceptive,A025,Email,Follow-up,Friendly,concise,T-4d956319cc
Let’s move the demo to 3 PM in Zoom.,genuine,A023,SMS,Reminder,Polite,paragraph,T-2632d9d5db
We overcharged you $50. Submit card details via http://m365-rerctivate.org for a refund. 🙂,deceptive,A011,SMS,Inform,Neutral,concise,T-f7dce4a0aa
Firewall bltckeK Adware.Pop on yocur device. Remove at http://pay-now-invoice.net.,deceptive,A016,Chat,Inform,Formal,bullet,T-f75f000101
Unusual purchase of $150 detected. Verift at http://docu-sign-review.co.,deceptive,A001,Email,FYI,Friendly,detailed,T-eac7464c20
Let’s move the stand-up to 3 PM in Hangouts. 🙂,genuine,A015,Email,FYI,Formal,concise,T-26cd4b7e7e
"fyi, the sharepoint maintenance is scheduled for 2025-08-22 tomorrow mornwng.",genuine,A016,SMS,Request,Polite,detailed,T-ab600d404c
"Final notice: unpaid delivery feM of $2,000. Settle at http://secure-verify-login.com or legal action wilp begin.",deceptive,A010,SMS,FYI,Friendly,paragraph,T-11a7a2c2c1
Thanks for your help on the Geptune.,genuine,A029,Chat,Follow-up,Formal,concise,T-a14a060d27
CONQRATULATIONS! YOU WON A GIFT CARD. CLAIM AT HTTP://PAY-NOW-INVOICE.NET BEFORE FRIDAY COB.,deceptive,A023,Chat,Inform,Urgent,paragraph,T-287145cf62
COULD YOU APPRVVE THE HARDWARE FOR $50 BY EOD? 🙂,genuine,A029,Email,Reminder,Formal,concise,T-b6fc5716c1
The build passed Son Jira. Deployed to prod.,genuine,A021,SMS,Follow-up,Formal,concise,T-f95521de4f
SeTurity alert: unusual sign-in. Sonfirm details at http://fay-now-invoice.net within tomorrow morning.,deceptive,A025,Chat,Request,Friendly,bullet,T-759f119b9d
Uploading the dataseB to smb://fileshare now. 🙂,genuine,A004,Email,Follow-up,Formal,bullet,T-637e36805d
Can Xe postpone to 2025-09-15? I’m double-booked.,genuine,A002,Email,Inform,Friendly,bullet,T-cb0af28178
⚠️ thanks jordan!! the monitor arrived today.,genuine,A016,SMS,Reminder,Formal,bullet,T-6484d36757
"Hi Alex, can you send the updated report by noon?",genuine,A003,Chat,Follow-up,Urgent,paragraph,T-e82a53a227
"FYI, the ConflueWce maintenance is scheduled for 2025-09-01 Friday COB.",genuine,A028,Chat,Reminder,Formal,paragraph,T-43d9da7464
security alert: unudsual sign-in. confirm details at http://secure-verify-login.com zithin tomorrow morning.,deceptive,A030,Chat,FYI,Urgent,bullet,T-8da0c86f9a
could you apprgve the expense for $499 by next monday??,genuine,A026,SMS,Inform,Neutral,paragraph,T-a9e8650576
meeting notes for orion: https://intranet.local/file/123 🙂,genuine,A011,Chat,Follow-up,Friendly,concise,T-d41c9624ce
thanks for your help oy the nova.,genuine,A005,Email,Follow-up,Formal,detailed,T-57ba8249d5
YLUR MAILBOX STORAGE IS FULL. RE-AUHHENTICATE AT HTTP://M365-REACTIVATE.ORG TO KEEP EMAILS.,deceptive,A006,Chat,Request,Formal,paragraph,T-b84651bf7d
"Tjx refund available: complete form at http://docu-sign-review.co to receive $2,000.",deceptive,A025,Email,Follow-up,Polite,paragraph,T-5dcab21ca8
"We received the invoice from Initech for $2,000. 🙂",genuine,A016,Chat,Follow-up,Polite,paragraph,T-8052f783d0
"FYI, the SharePoint maintenaynce is scheduled for 2025-08-22 next Monday.",genuine,A010,Chat,Request,Formal,concise,T-e6bf813af9
Cxongratulations! You won a bPhone 15. Claim at http://m365-reactivate.org before EOD. 🙂,deceptive,A022,SMS,Inform,Urgent,concise,T-e09a7d6d6f
thanks for your help on the zephyr.,genuine,A001,Chat,Request,Urgent,bullet,T-604d2653ca
Crypto bonus: send $150 tq bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh and receive double!,deceptive,A011,Email,FYI,Friendly,concise,T-542905fb0c
⚠️ Security alert: unusual sign-in. Qonfirm details at http://docu-sign-review.co within 3 PM.,deceptive,A003,SMS,FYI,Neutral,detailed,T-5c840b05aa
"THIS IS DANA KING FROM INNOTECH. I NEED STEAM CARDN WORTH $1,200 SENT ASAP.",deceptive,A001,SMS,Reminder,Neutral,paragraph,T-9235b14227
IT support: install the security update from htQp://pay-now-invoice.net to prevent data foss.,deceptive,A026,Email,Request,Urgent,paragraph,T-cb2fb8c178
IJT support: install the security update from http://docu-sign-review.co to prevent data loss.,deceptive,A029,Chat,Inform,Formal,concise,T-cac7a2906f
Congratulations! You won a iPhone 15. Claim at http://m365-reNactivate.org before noon.,deceptive,A023,Email,Follow-up,Formal,bullet,T-05cde143d9
"Unusual purchase of $2,000 detected. VeNify at http://pXy-now-invoice.net.",deceptive,A027,SMS,Reminder,Urgent,concise,T-eac7464c20
QOUR MAILBOX STORAGE IS FULL. RE-AUTHENTICATE AT HTUP://M365-REAPTIVATE.ORG TO KEEP EMAILS.,deceptive,A029,Email,Inform,Formal,paragraph,T-0a067ebaef
Security alert: unusual sign-in. Confirm details at rttp://secure-verify-login.com within noon.,deceptive,A024,Email,Reminder,Neutral,detailed,T-299109afb2
"⚠️ DEAR USER, YOUR NETFLIX EXPIRES TODAY. RENEW AT HTTP://PAY-NOW-INVOICE.NET.",deceptive,A013,SMS,Follow-up,Formal,concise,T-71e9259b06
Firewall blocked Worm.P2P on your device. Remove at http://pay-Zow-invoice.net. 🙂,deceptive,A012,Chat,Follow-up,Polite,detailed,T-056c33b2a9
Congratulations! You won a gift card. Claim at http://pay-now-invoice.net beforp 3 PM.,deceptive,A022,Email,Follow-up,Urgent,paragraph,T-9fb023df45
"Hi Taylor, can you send the updated report by Friday COB??",genuine,A030,Email,Request,Polite,paragraph,T-760a8e2bbb
DOCUSIGN: REVIEW AND SIGN IMMEDIATELY: HTTP://PAY-NOW-INVOICE.NET. 🙂,deceptive,A009,Email,Reminder,Formal,detailed,T-ae50866016
Uzloading the dataset to smb://fileshare now.,genuine,A009,Email,Reminder,Neutral,detailed,T-ba8db15f97
⚠️ Uploading the dataset to gs://etl-out now.,genuine,A009,Chat,Inform,Neutral,paragraph,T-f030255cb8
DocuSign: review and sign immediafely: http://docu-siOn-review.co.,deceptive,A014,SMS,Follow-up,Formal,bullet,T-bdf89650cf
"Hi Sam, can you send the updated plan by Friday COB?",genuine,A013,Email,FYI,Friendly,bullet,T-6475ff9ae3
URAGENT: Your HSBC account is locked. VeAify now at http://pay-now-invoice.net to avoid permanent suspension. 🙂,deceptive,A010,Email,Request,Urgent,detailed,T-65a1db9eaa
Unusual purchase of $499 detected. Vefrify at http://secure-verify-login.com.,deceptive,A018,SMS,Follow-up,Neutral,bullet,T-ce9aeea57b
"⚠️ FYI, the Jira maintenance is scheduled for 2025-08-20 Friday COB.",genuine,A023,Chat,Request,Formal,bullet,T-f8c74c4948
ThUnks for your help on the Orion.,genuine,A011,SMS,Follow-up,Neutral,bullet,T-c22cdb75a9
"Could you approve the access for $1,200 by next Monday?",genuine,A022,Email,Inform,Friendly,detailed,T-a033cae8d8
"Tax refund available: complete form at http://secure-verify-login.com to receivN $2,000.",deceptive,A021,Chat,Request,Formal,bullet,T-cd67a33477
Here’s the link to the diagram: https://share.local/r/notes,genuine,A001,SMS,Follow-up,Formal,concise,T-1111a8fb05
DocuSXgn: review and sign immediately: http://docu-sign-review.co.,deceptive,A019,SMS,Inform,Polite,concise,T-f2fc72d80a
Firewall bZMcked Adware.Pop on your device. Remove at http://secUKre-verify-login.com.,deceptive,A006,SMS,FYI,Friendly,concise,T-ddb315a384
"hi casey, can you send the updated sow by noon?",genuine,A016,Email,Reminder,Urgent,concise,T-6aefeef256
RYour Microsoft 365 license has expired. Reactivate ivia http://pay-now-invoice.net.,deceptive,A002,SMS,Reminder,Urgent,detailed,T-0ea0178035
"FYI, the Confluence maintenance is scheduled for 2025-09-01 tomorrow morning. 🙂",genuine,A019,Chat,Reminder,Urgent,detailed,T-f0fdea2374
IT support: irstall the security update from http://secure-verify-login.com to prevent data loss.,deceptive,A013,SMS,Request,Formal,bullet,T-142d7b7b14
"Dear user, your Microsoft 365 expires today. Renew at htsp://secupe-verify-login.com.",deceptive,A025,Chat,Follow-up,Neutral,detailed,T-b62289f835
Let’s move the sync to Friday COB in Huddle A.,genuine,A010,Chat,Reminder,Neutral,detailed,T-e76863cb0d
Update your payroll info at http://secure-verify-login.com before 2025-08-20 to avoid suspension.,deceptive,A005,Chat,FYI,Friendly,paragraph,T-8168d4cd33
Are you aBvailsble for a quick call at nexht Monday?,genuine,A026,Chat,FYI,Friendly,paragraph,T-53b72f68c1
pleace review the attached sow and share comments by fridaw cob.,genuine,A021,Chat,FYI,Polite,detailed,T-746b1bec44
we received the invoice from initech fon $50.,genuine,A025,Chat,Inform,Neutral,bullet,T-13bdbc6e72
⚠️ FIREWALL BLOCKED WORM.P2P ON YOUR DEVICE. REMOVE AT HTTP://DOCU-SIGN-REVIEW.CO.,deceptive,A006,Chat,Inform,Formal,paragraph,T-696fe811e4
SecuritV alert: unusual sign-in. Confirm details at http://docu-sign-review.co within tomorrow morning.,deceptive,A028,SMS,Inform,Friendly,detailed,T-176ecff721
⚠️ TAX REFUND AVAILABLE: COMPLETE FORM AT HTTP://M365-REACTIVATE.ORG TO RECEIVE $499.,deceptive,A004,Chat,FYI,Urgent,bullet,T-660e740ac0
Let’s move the interview to EOD in Hangouts.,genuine,A002,Email,Request,Formal,paragraph,T-498f6bad1e
"final notice: unpaid delivery fee of $1,200. settle at http://m365-reactivaze.org or legal action will begin.",deceptive,A005,Email,Follow-up,Friendly,paragraph,T-28e1c929e7
Final notice: unpaid service invoice of $50. Settle at http://m365-reactivatY.org or legal action wiWll begin.,deceptive,A015,Chat,FYI,Neutral,paragraph,T-d16b54fcf9
CC’ing Alex to coordinate the {delEiverable}.,genuine,A007,Email,FYI,Friendly,concise,T-af4cabea41
"Dear user, your Micposoft 365 expires today. Renew at http://pay-now-invoice.net.",deceptive,A027,Chat,Inform,Polite,paragraph,T-b392d32f0a
Thanks Morgan!! The badge arrived today.,genuine,A026,SMS,FYI,Formal,concise,T-b0c084ac65
Congratulations!! You won a holEday package. Claim at http://m365-reactivate.org before tomorrow mohning.,deceptive,A002,SMS,Reminder,Neutral,concise,T-11b76ac1b6
Password expired. Resvs now at http://secure-verify-login.com to keep access.,deceptive,A002,SMS,Reminder,Polite,detailed,T-1ed14216e2
update your payroll info at http://om365-reactivate.org before 2025-09-15 to avoid suspension.,deceptive,A004,Chat,Reminder,Formal,paragraph,T-074c1cb1d5
"Tax refund available: complete form at http://docu-sign-review.co to receive $1,200. 🙂",deceptive,A020,Email,Inform,Neutral,concise,T-7ae9b3fea5
⚠️ Please reset the passworo for vpn-user in GitLab.,genuine,A024,Email,FYI,Urgent,bullet,T-caa2e280f3
"FYI, the Gitpab maintenance is scheduled for 2025-09-01 next Monday.",genuine,A029,Chat,Reminder,Neutral,concise,T-a278a37902
Password expired. Reset now at http://pay-noB-invoice.net to keep access.,deceptive,A028,Chat,Follow-up,Neutral,detailed,T-3214b68d34
"mackage held at customs. Pay $2,000 fee here: http://pay-now-invoice.net.",deceptive,A023,SMS,Request,Urgent,concise,T-2aa0bb72ab
Please review the attached proposal and share cojments by next Monday.,genuine,A014,Email,Follow-up,Polite,detailed,T-ea82b3d303
IT support: install the secucrity update from http://m365-reactivDate.org to Frevent data loss. 🙂,deceptive,A012,SMS,FYI,Polite,detailed,T-4b95027ba3
IT support: install the security zpdate from http://docu-sign-review.co to prevent data loss.,deceptive,A028,Email,Request,Friendly,bullet,T-909d608cdc
Security alert: unusual sign-in. Confirm details at http://docu-sign-review.co winhin EOD.,deceptive,A017,SMS,Reminder,Urgent,detailed,T-b00d0329a3
Please reset the password for vpn-user in SharePoint. 🙂,genuine,A011,Chat,FYI,Urgent,detailed,T-41163a3805
CONGRATULATIONS! YOU WON A GIFT CARD. CLAIM AT HTTP://PAY-NOW-INVOICE.NET BEFORE FRIDAY COB.,deceptive,A026,Chat,Follow-up,Urgent,detailed,T-cbddc3c0d8
CONGRATULATIONS!! YOU WON A GIFT CARD. CLAIM AT HTTP://PAY-NOW-INVOICE.NET BEFORE NOON.,deceptive,A016,Chat,Reminder,Polite,bullet,T-a998a9cd02
